"COMMUN METHODS MEAS","COMPUT HUM BEHAV","9"
"COMMUN STUD","COMPUT HUM BEHAV","9"
"DIVAI 2016 11 INT","COMPUT HUM BEHAV","9"
"EDUC PSYCHOL REV","COMPUT HUM BEHAV","9"
"EFFIC RESP EDUC","COMPUT HUM BEHAV","9"
"ELECTRON LIBR","COMPUT HUM BEHAV","9"
"ELECTRON MARK","COMPUT HUM BEHAV","9"
"ENCEPHALE","COMPUT HUM BEHAV","9"
"ETHOS","COMPUT HUM BEHAV","9"
"IEEE LAT AM T","COMPUT HUM BEHAV","9"
"INFORM TECHNOL MANAG","COMPUT HUM BEHAV","9"
"INT C COMP SUPP COOP","COMPUT HUM BEHAV","9"
"INT J DIST EDUC","COMPUT HUM BEHAV","9"
"INT J ELECTRON GOV R","COMPUT HUM BEHAV","9"
"INT J ENV RES PUB HE","COMPUT HUM BEHAV","9"
"INT J GAME-BASED LEA","COMPUT HUM BEHAV","9"
"J BUS ETHICS","COMPUT HUM BEHAV","9"
"J CONSUM BEHAV","COMPUT HUM BEHAV","9"
"J LANG SOC PSYCHOL","COMPUT HUM BEHAV","9"
"J TRAVEL RES","COMPUT HUM BEHAV","9"
"MANAG FINANC","COMPUT HUM BEHAV","9"
"METACOGN LEARN","COMPUT HUM BEHAV","9"
"NEUROSCIENTIST","COMPUT HUM BEHAV","9"
"NURS EDUC TODAY","COMPUT HUM BEHAV","9"
"P 1 INT C COMPL INF","COMPUT HUM BEHAV","9"
"P 2016 ACM WEB SCI","COMPUT HUM BEHAV","9"
"P 2016 INT C INT","COMPUT HUM BEHAV","9"
"P NORD 16 9 NORD C","COMPUT HUM BEHAV","9"
"PSYCHOL ADDICT BEHAV","COMPUT HUM BEHAV","9"
"PSYCHOL RUNDSCH","COMPUT HUM BEHAV","9"
"SERV BUS","COMPUT HUM BEHAV","9"
"SOC SCI INFORM","COMPUT HUM BEHAV","9"
"TELECOMMUN POLICY","COMPUT HUM BEHAV","9"
"Z KL PSYCH PSYCHOTH","COMPUT HUM BEHAV","9"
"ASIA-PAC PSYCHIAT","COMPUT HUM BEHAV","8"
"ATTEN PERCEPT PSYCHO","COMPUT HUM BEHAV","8"
"COGENT BUS MANAG","COMPUT HUM BEHAV","8"
"COGENT PSYCHOL","COMPUT HUM BEHAV","8"
"COGN BEHAV THERAPY","COMPUT HUM BEHAV","8"
"COMMUN Q","COMPUT HUM BEHAV","8"
"COMPUT LAW SECUR REV","COMPUT HUM BEHAV","8"
"CROAT J EDUC","COMPUT HUM BEHAV","8"
"EUR J INFORM SYST","COMPUT HUM BEHAV","8"
"GLOB ITS SOC CONS","COMPUT HUM BEHAV","8"
"HEALTH INFORM J","COMPUT HUM BEHAV","8"
"HEALTH TECHNOL-GER","COMPUT HUM BEHAV","8"
"INT CONF INFO TECH","COMPUT HUM BEHAV","8"
"INT J COMPUT SCI NET","COMPUT HUM BEHAV","8"
"INT J HUM CAP INF TE","COMPUT HUM BEHAV","8"
"INT J SOC ROBOT","COMPUT HUM BEHAV","8"
"J CASES INF TECHNOL","COMPUT HUM BEHAV","8"
"J INF KNOWL MANAG","COMPUT HUM BEHAV","8"
"J INTERACT MARK","COMPUT HUM BEHAV","8"
"J MED SYST","COMPUT HUM BEHAV","8"
"J ORGAN CHANGE MANAG","COMPUT HUM BEHAV","8"
"J STUD INT EDUC","COMPUT HUM BEHAV","8"
"J SYST SOFTWARE","COMPUT HUM BEHAV","8"
"JMIR RES PROTOC","COMPUT HUM BEHAV","8"
"LIBR REV","COMPUT HUM BEHAV","8"
"MANAGE DECIS","COMPUT HUM BEHAV","8"
"MASS COMMUN SOC","COMPUT HUM BEHAV","8"
"PRAX SABER","COMPUT HUM BEHAV","8"
"PROC ECON FINANC","COMPUT HUM BEHAV","8"
"PSYCHOL SCHOOLS","COMPUT HUM BEHAV","8"
"PSYCHON B REV","COMPUT HUM BEHAV","8"
"RIED-REV IBEROAM EDU","COMPUT HUM BEHAV","8"
"SAGE OPEN","COMPUT HUM BEHAV","8"
"STUD PSYCHOL","COMPUT HUM BEHAV","8"
"2016 8 EUR AM C TEL","COMPUT HUM BEHAV","7"
"2016 IST WEEK C","COMPUT HUM BEHAV","7"
"ACM T ACCESS COMPUT","COMPUT HUM BEHAV","7"
"AMB INTELL SMART ENV","COMPUT HUM BEHAV","7"
"APPL SCI-BASEL","COMPUT HUM BEHAV","7"
"APPL SOFT COMPUT","COMPUT HUM BEHAV","7"
"ASIA PAC J TOUR RES","COMPUT HUM BEHAV","7"
"CAN J BEHAV SCI","COMPUT HUM BEHAV","7"
"CHILD ABUSE NEGLECT","COMPUT HUM BEHAV","7"
"CHILD SOC","COMPUT HUM BEHAV","7"
"COGN TECHNOL WORK","COMPUT HUM BEHAV","7"
"DEPRESS ANXIETY","COMPUT HUM BEHAV","7"
"DISPLAYS","COMPUT HUM BEHAV","7"
"EDUC MEDIA INT","COMPUT HUM BEHAV","7"
"EDUC STUD-UK","COMPUT HUM BEHAV","7"
"FRONT AGING NEUROSCI","COMPUT HUM BEHAV","7"
"GLOB DEV OPP CHALL","COMPUT HUM BEHAV","7"
"HUM FACTORS","COMPUT HUM BEHAV","7"
"INT CONF COGN INFO","COMPUT HUM BEHAV","7"
"INT CONF E BUS ENG","COMPUT HUM BEHAV","7"
"INT CONF RES CHAL","COMPUT HUM BEHAV","7"
"INT GAMBL STUD","COMPUT HUM BEHAV","7"
"INT J ADV APPL SCI","COMPUT HUM BEHAV","7"
"INT J FUTUR GENER CO","COMPUT HUM BEHAV","7"
"INT J INF COMMUN TEC","COMPUT HUM BEHAV","7"
"INT J PUBLIC HEALTH","COMPUT HUM BEHAV","7"
"INT J SCI EDUC","COMPUT HUM BEHAV","7"
"INT J SOC RES METHOD","COMPUT HUM BEHAV","7"
"INT J TOUR RES","COMPUT HUM BEHAV","7"
"IOP CONF SER-MAT SCI","COMPUT HUM BEHAV","7"
"J CIRCUIT SYST COMP","COMPUT HUM BEHAV","7"
"J EARLY ADOLESCENCE","COMPUT HUM BEHAV","7"
"J GEN PSYCHOL","COMPUT HUM BEHAV","7"
"J GLOB INF MANAG","COMPUT HUM BEHAV","7"
"J HEALTH PSYCHOL","COMPUT HUM BEHAV","7"
"J HOSP TOUR RES","COMPUT HUM BEHAV","7"
"J NETW COMPUT APPL","COMPUT HUM BEHAV","7"
"J ORG COMP ELECT COM","COMPUT HUM BEHAV","7"
"J PEDIATR ADOL GYNEC","COMPUT HUM BEHAV","7"
"J PROD BRAND MANAG","COMPUT HUM BEHAV","7"
"J SCH VIOLENCE","COMPUT HUM BEHAV","7"
"J THEOR APPL EL COMM","COMPUT HUM BEHAV","7"
"KSII T INTERNET INF","COMPUT HUM BEHAV","7"
"LECT N EDUC TECHNOL","COMPUT HUM BEHAV","7"
